cgpa,internships,projects,aptitude,communication,placed
6.87,1,2,36.3,57.4,1
9.75,2,5,59.2,71.6,0
8.66,0,5,91.5,64.8,1
7.99,0,2,96.1,99.1,1
5.78,0,2,62.7,39.6,0
5.78,0,1,72.9,78.7,0
5.29,3,3,41.7,58.3,0
9.33,0,4,99.4,60.0,1
8.01,3,0,46.2,80.2,0
8.54,3,3,96.0,78.5,1
5.1,0,5,75.5,99.4,0
9.85,0,2,72.5,39.0,0
9.16,1,3,65.9,37.3,0
6.06,2,4,46.1,80.7,0
5.91,0,5,42.4,70.5,0
5.92,1,0,45.4,49.2,0
6.52,1,0,43.1,35.6,0
7.62,2,4,84.6,36.0,0
7.16,3,4,54.5,92.6,0
6.46,0,2,34.0,43.4,0
8.06,2,0,97.8,52.6,0
5.7,0,5,91.9,45.9,0
6.46,1,3,94.9,54.8,0
6.83,1,5,99.6,34.9,0
7.28,3,1,42.2,66.3,0
8.93,1,1,57.7,34.7,0
6.0,1,4,83.1,86.0,0
7.57,2,2,78.7,46.4,0
7.96,0,1,40.8,67.8,0
5.23,0,0,87.1,91.6,0
8.04,2,5,45.7,75.6,0
5.85,3,5,45.7,67.3,0
5.33,0,4,67.6,52.7,0
9.74,1,3,71.5,53.3,0
9.83,0,4,70.6,76.9,1
9.04,1,3,36.4,99.6,0
6.52,3,4,91.4,76.3,0
5.49,2,4,48.6,69.0,1
8.42,0,4,39.1,81.1,0
7.2,2,3,92.2,62.6,1
5.61,0,3,96.9,34.2,0
7.48,1,4,90.3,69.4,1
5.17,2,1,86.7,97.0,0
9.55,0,2,75.9,42.3,0
6.29,1,2,68.6,78.3,0
8.31,2,2,36.1,44.1,0
6.56,2,3,58.6,67.5,0
7.6,0,3,56.1,36.8,0
7.73,0,1,48.2,61.5,0
5.92,0,2,80.6,82.9,0
9.85,1,2,64.7,54.3,1
8.88,0,4,35.7,76.5,0
9.7,2,3,45.4,85.7,0
9.47,2,2,77.8,94.9,1
7.99,0,5,35.3,46.4,0
9.61,0,1,89.6,58.0,0
5.44,3,5,64.7,40.7,0
5.98,2,5,63.6,99.5,0
5.23,1,1,71.5,94.9,0
6.63,3,5,87.7,67.8,0
6.94,0,2,54.3,88.9,0
6.36,0,3,77.5,66.5,0
9.14,2,1,69.6,73.7,1
6.78,0,4,48.7,36.2,0
6.4,1,5,91.5,82.9,0
7.71,2,1,85.8,38.9,0
5.7,0,0,76.1,87.8,0
9.01,2,0,89.5,84.7,1
5.37,0,3,90.7,79.6,0
9.93,0,2,79.6,32.5,0
8.86,0,3,88.6,51.2,0
5.99,1,3,78.8,48.4,0
5.03,1,3,77.6,55.2,0
9.08,2,3,73.3,36.1,0
8.53,0,4,82.7,95.6,1
8.65,0,4,41.1,68.8,0
8.86,1,1,91.7,51.4,0
5.37,0,0,91.0,57.8,0
6.79,1,3,32.0,61.3,0
5.58,0,1,87.8,72.0,0
9.32,2,0,39.0,66.1,0
8.12,0,5,53.5,94.4,0
6.65,0,2,82.0,64.8,0
5.32,3,4,41.3,99.5,0
6.55,1,5,87.3,89.6,0
6.63,0,0,88.2,44.6,0
8.65,0,5,65.5,95.1,1
8.19,3,2,30.4,38.1,0
9.44,3,0,50.1,87.2,0
7.36,1,5,73.2,56.6,1
5.6,3,4,98.7,91.5,1
8.57,2,4,74.2,90.8,1
8.8,3,1,48.2,86.4,0
7.81,2,5,74.4,85.3,1
8.85,1,3,67.8,51.3,0
7.47,1,5,84.6,35.7,0
7.61,1,0,37.5,58.2,0
7.14,1,0,83.3,42.1,0
5.13,1,5,67.9,78.6,0
5.54,2,2,97.4,54.2,0
5.16,2,4,53.9,98.3,0
8.18,1,0,74.3,74.9,0
6.57,3,4,95.2,87.6,0
7.54,0,0,37.2,39.3,0
9.54,1,1,95.6,90.3,1
6.25,3,3,78.2,94.6,0
7.05,0,0,34.7,64.1,0
8.78,1,4,51.1,72.4,0
6.14,1,1,79.6,83.5,0
5.38,2,0,34.7,42.2,0
6.45,0,2,70.8,65.2,0
5.81,0,3,54.2,57.9,0
9.65,3,0,73.5,40.2,0
9.04,2,1,33.2,55.7,0
8.17,2,2,91.0,34.8,0
9.36,2,5,98.1,31.8,0
9.02,2,1,97.8,39.5,0
5.93,0,1,82.5,97.4,0
9.46,0,2,39.1,68.5,0
7.7,1,1,83.1,97.6,1
9.04,1,2,31.7,60.3,0
9.48,2,0,31.5,51.8,0
6.59,2,2,52.7,65.4,1
5.55,2,2,64.2,60.8,0
6.14,1,3,83.9,37.4,0
7.14,3,2,77.8,74.9,1
9.09,3,2,61.2,45.1,0
9.3,1,5,49.2,73.4,0
5.03,1,0,99.8,75.5,0
7.55,1,3,59.8,40.6,0
7.09,1,5,61.6,34.3,0
6.11,1,4,41.5,84.7,1
5.6,1,0,85.6,62.2,0
6.69,2,0,78.6,34.1,0
9.71,2,4,45.5,99.6,0
6.62,2,2,35.8,34.0,0
7.59,2,5,77.6,78.7,1
8.52,1,1,75.8,98.9,1
6.82,3,3,49.1,46.7,0
9.86,0,1,96.6,40.0,0
9.81,1,4,40.6,38.5,0
6.26,0,0,60.3,51.2,1
7.49,3,0,96.1,37.1,0
6.5,2,3,59.4,78.5,1
6.42,3,0,74.7,34.4,0
5.18,1,0,57.8,65.7,0
8.05,2,3,49.2,99.8,0
7.51,1,5,98.9,87.0,1
5.26,2,5,58.7,73.1,0
6.39,0,3,92.6,51.4,0
9.54,0,4,46.1,73.7,1
6.2,0,0,44.9,66.9,0
5.72,3,0,32.2,59.8,0
7.45,1,4,75.6,39.1,0
9.93,3,5,55.8,92.1,0
6.21,0,2,90.5,61.5,0
8.36,1,2,63.1,43.6,0
8.81,0,2,97.8,55.7,0
6.19,3,5,43.0,59.0,0
8.64,3,5,90.8,87.9,1
6.84,3,4,84.4,81.4,1
8.16,0,0,84.0,83.9,1
8.17,1,4,89.1,30.8,0
7.68,1,4,83.3,59.1,1
5.45,0,5,73.8,63.7,0
9.18,1,2,39.2,31.3,1
6.6,0,1,32.3,48.2,0
5.93,1,0,94.5,83.2,0
5.2,2,5,73.2,39.6,0
7.95,2,2,85.8,67.5,0
8.39,3,1,63.7,45.1,0
5.08,2,1,38.2,30.8,0
7.56,2,5,38.8,46.9,0
6.13,2,3,78.0,98.3,0
8.23,0,0,60.1,86.1,1
5.87,2,1,44.0,97.2,0
8.45,2,5,64.4,64.1,1
6.93,3,5,34.5,37.7,0
9.68,2,2,70.7,68.4,1
5.69,2,3,48.8,61.8,0
6.71,1,0,85.8,89.1,0
5.57,3,4,51.7,36.9,0
9.62,3,2,61.9,64.2,1
9.39,3,1,30.8,40.5,0
6.29,3,1,35.1,52.7,0
8.3,3,2,57.5,81.6,0
9.09,3,5,63.6,63.3,1
7.78,0,1,72.0,56.3,1
7.65,2,3,50.4,57.6,0
6.21,3,0,78.6,62.2,0
5.47,2,3,90.2,85.0,0
9.49,2,1,84.6,92.4,1
9.5,0,4,32.8,96.9,0
8.17,3,0,63.6,85.1,1
6.7,1,0,37.3,52.1,0
6.75,0,2,46.9,78.2,0
8.63,1,2,99.1,60.6,1
9.49,2,4,40.0,47.8,0
9.44,2,5,64.9,88.9,0
8.9,0,0,73.3,32.7,0
8.21,0,4,79.2,93.1,1
5.42,1,2,69.2,62.3,0
5.81,3,2,30.7,74.6,1
9.49,1,0,52.9,76.2,0
8.03,0,3,66.2,92.7,1
5.05,1,1,36.2,74.6,0
5.51,0,2,54.5,73.0,0
8.32,1,5,32.3,34.7,0
5.03,0,5,35.5,66.3,0
5.8,0,2,57.8,40.5,0
7.74,0,3,39.3,81.6,0
8.46,3,3,69.7,65.9,1
8.26,1,4,78.3,77.6,1
6.12,1,5,86.0,32.9,1
8.56,1,4,44.0,35.9,1
6.19,0,5,41.7,80.1,0
6.63,1,1,37.3,35.0,1
8.73,1,1,74.6,35.0,0
8.25,0,0,79.5,30.8,0
9.25,2,4,32.2,97.0,0
8.29,0,2,95.5,81.6,1
7.84,1,4,33.6,54.7,0
5.47,0,2,67.9,50.8,0
6.84,2,3,79.6,54.5,0
6.33,0,4,91.0,84.2,0
6.22,1,3,80.0,76.3,1
9.87,2,1,86.1,43.0,0
6.97,3,1,53.8,42.2,0
9.46,1,0,87.0,36.9,0
8.16,2,4,35.6,76.2,0
8.97,2,3,92.6,83.5,1
7.51,3,2,68.3,48.6,0
7.88,0,1,87.2,31.5,0
7.46,0,1,61.7,35.8,0
5.98,1,2,75.1,97.8,0
8.61,3,3,66.8,50.7,0
6.4,0,3,81.2,83.8,0
5.12,3,4,35.7,73.7,0
8.23,0,4,34.2,56.7,0
5.89,2,5,47.3,44.4,0
9.7,0,5,41.2,38.5,0
9.77,3,0,91.0,73.1,1
9.57,2,1,45.3,84.2,0
6.85,2,4,98.3,75.1,0
5.08,2,3,53.6,67.1,0
